id,Actual Count,Result at conf = 0.0275,Difference,Percentage Error,,Result at conf = 0.1,Difference,Percentage Error,,Result at conf = 0.025,Difference,Percentage Error,,Result at conf = 0.0225,Difference,Percentage Error,
110,26,20,6,0.2308,,18,8,0.3077,,20,6,0.2308,,21,5,0.1923,
111,24,26,-2,0.0833,,14,10,0.4167,,29,-5,0.2083,,29,-5,0.2083,
112,27,27,0,0.0000,,18,9,0.3333,,27,0,0.0000,,28,-1,0.0370,
113,40,32,8,0.2000,,22,18,0.4500,,34,6,0.1500,,35,5,0.1250,
114,46,31,15,0.3261,,18,28,0.6087,,32,14,0.3043,,34,12,0.2609,
115,33,34,-1,0.0303,,24,9,0.2727,,35,-2,0.0606,,37,-4,0.1212,
116,30,30,0,0.0000,,24,6,0.2000,,31,-1,0.0333,,34,-4,0.1333,
117,37,40,-3,0.0811,,28,9,0.2432,,40,-3,0.0811,,41,-4,0.1081,
118,41,34,7,0.1707,,24,17,0.4146,,35,6,0.1463,,37,4,0.0976,
119,40,36,4,0.1000,,29,11,0.2750,,36,4,0.1000,,39,1,0.0250,
120,37,38,-1,0.0270,,25,12,0.3243,,38,-1,0.0270,,43,-6,0.1622,
121,34,32,2,0.0588,,24,10,0.2941,,32,2,0.0588,,36,-2,0.0588,
122,33,34,-1,0.0303,,24,9,0.2727,,34,-1,0.0303,,35,-2,0.0606,
123,36,33,3,0.0833,,25,11,0.3056,,34,2,0.0556,,36,0,0.0000,
124,31,28,3,0.0968,,22,9,0.2903,,30,1,0.0323,,32,-1,0.0323,
125,31,27,4,0.1290,,19,12,0.3871,,27,4,0.1290,,28,3,0.0968,
126,28,26,2,0.0714,,21,7,0.2500,,27,1,0.0357,,30,-2,0.0714,
127,29,27,2,0.0690,,20,9,0.3103,,29,0,0.0000,,29,0,0.0000,
128,32,26,6,0.1875,,23,9,0.2813,,26,6,0.1875,,27,5,0.1563,
129,34,32,2,0.0588,,26,8,0.2353,,34,0,0.0000,,34,0,0.0000,
130,38,29,9,0.2368,,21,17,0.4474,,29,9,0.2368,,30,8,0.2105,
131,35,34,1,0.0286,,22,13,0.3714,,36,-1,0.0286,,37,-2,0.0571,
132,36,31,5,0.1389,,24,12,0.3333,,31,5,0.1389,,34,2,0.0556,
133,44,36,8,0.1818,,27,17,0.3864,,37,7,0.1591,,38,6,0.1364,
134,39,32,7,0.1795,,24,15,0.3846,,32,7,0.1795,,33,6,0.1538,
135,33,41,-8,0.2424,,28,5,0.1515,,42,-9,0.2727,,43,-10,0.3030,
136,41,36,5,0.1220,,27,14,0.3415,,36,5,0.1220,,36,5,0.1220,
137,40,33,7,0.1750,,22,18,0.4500,,33,7,0.1750,,44,-4,0.1000,
138,41,38,3,0.0732,,25,16,0.3902,,39,2,0.0488,,39,2,0.0488,
139,41,35,6,0.1463,,21,20,0.4878,,37,4,0.0976,,43,-2,0.0488,
140,43,39,4,0.0930,,24,19,0.4419,,39,4,0.0930,,43,0,0.0000,
141,39,38,1,0.0256,,25,14,0.3590,,41,-2,0.0513,,43,-4,0.1026,
142,33,30,3,0.0909,,24,9,0.2727,,31,2,0.0606,,33,0,0.0000,
143,26,29,-3,0.1154,,21,5,0.1923,,30,-4,0.1538,,31,-5,0.1923,
144,29,35,-6,0.2069,,23,6,0.2069,,36,-7,0.2414,,36,-7,0.2414,
145,34,34,0,0.0000,,22,12,0.3529,,34,0,0.0000,,35,-1,0.0294,
146,35,38,-3,0.0857,,25,10,0.2857,,41,-6,0.1714,,41,-6,0.1714,
147,26,31,-5,0.1923,,18,8,0.3077,,31,-5,0.1923,,36,-10,0.3846,
148,33,37,-4,0.1212,,25,8,0.2424,,37,-4,0.1212,,37,-4,0.1212,
149,37,35,2,0.0541,,24,13,0.3514,,37,0,0.0000,,38,-1,0.0270,
150,35,33,2,0.0571,,23,12,0.3429,,33,2,0.0571,,34,1,0.0286,
151,32,24,8,0.2500,,16,16,0.5000,,24,8,0.2500,,28,4,0.1250,
152,29,30,-1,0.0345,,20,9,0.3103,,31,-2,0.0690,,33,-4,0.1379,
153,30,34,-4,0.1333,,23,7,0.2333,,35,-5,0.1667,,37,-7,0.2333,
154,29,34,-5,0.1724,,21,8,0.2759,,35,-6,0.2069,,35,-6,0.2069,
155,29,27,2,0.0690,,21,8,0.2759,,27,2,0.0690,,31,-2,0.0690,
156,29,31,-2,0.0690,,19,10,0.3448,,31,-2,0.0690,,32,-3,0.1034,
157,29,22,7,0.2414,,16,13,0.4483,,24,5,0.1724,,26,3,0.1034,
158,35,32,3,0.0857,,22,13,0.3714,,32,3,0.0857,,37,-2,0.0571,
159,28,30,-2,0.0714,,24,4,0.1429,,31,-3,0.1071,,32,-4,0.1429,
160,32,29,3,0.0938,,23,9,0.2813,,29,3,0.0938,,31,1,0.0313,
161,33,30,3,0.0909,,21,12,0.3636,,31,2,0.0606,,34,-1,0.0303,
162,35,36,-1,0.0286,,28,7,0.2000,,36,-1,0.0286,,37,-2,0.0571,
163,36,31,5,0.1389,,22,14,0.3889,,32,4,0.1111,,33,3,0.0833,
164,35,29,6,0.1714,,21,14,0.4000,,31,4,0.1143,,32,3,0.0857,
165,37,30,7,0.1892,,20,17,0.4595,,30,7,0.1892,,31,6,0.1622,
166,42,31,11,0.2619,,24,18,0.4286,,31,11,0.2619,,35,7,0.1667,
167,43,35,8,0.1860,,22,21,0.4884,,36,7,0.1628,,36,7,0.1628,
168,39,36,3,0.0769,,21,18,0.4615,,36,3,0.0769,,36,3,0.0769,
169,38,33,5,0.1316,,20,18,0.4737,,34,4,0.1053,,37,1,0.0263,
170,34,32,2,0.0588,,20,14,0.4118,,32,2,0.0588,,32,2,0.0588,
171,31,32,-1,0.0323,,22,9,0.2903,,33,-2,0.0645,,36,-5,0.1613,
172,29,29,0,0.0000,,17,12,0.4138,,29,0,0.0000,,29,0,0.0000,
173,29,29,0,0.0000,,18,11,0.3793,,29,0,0.0000,,32,-3,0.1034,
174,31,28,3,0.0968,,20,11,0.3548,,30,1,0.0323,,31,0,0.0000,
175,36,33,3,0.0833,,22,14,0.3889,,33,3,0.0833,,35,1,0.0278,
176,36,35,1,0.0278,,22,14,0.3889,,37,-1,0.0278,,38,-2,0.0556,
177,37,34,3,0.0811,,23,14,0.3784,,34,3,0.0811,,35,2,0.0541,
178,42,37,5,0.1190,,28,14,0.3333,,40,2,0.0476,,43,-1,0.0238,
179,45,37,8,0.1778,,23,22,0.4889,,38,7,0.1556,,42,3,0.0667,
180,44,39,5,0.1136,,25,19,0.4318,,39,5,0.1136,,41,3,0.0682,
181,53,37,16,0.3019,,21,32,0.6038,,37,16,0.3019,,38,15,0.2830,
182,47,38,9,0.1915,,20,27,0.5745,,39,8,0.1702,,41,6,0.1277,
183,36,31,5,0.1389,,22,14,0.3889,,31,5,0.1389,,31,5,0.1389,
184,31,32,-1,0.0323,,21,10,0.3226,,32,-1,0.0323,,35,-4,0.1290,
185,39,29,10,0.2564,,20,19,0.4872,,32,7,0.1795,,33,6,0.1538,
186,37,28,9,0.2432,,21,16,0.4324,,28,9,0.2432,,29,8,0.2162,
187,38,31,7,0.1842,,19,19,0.5000,,31,7,0.1842,,33,5,0.1316,
188,33,30,3,0.0909,,20,13,0.3939,,30,3,0.0909,,30,3,0.0909,
189,34,29,5,0.1471,,21,13,0.3824,,30,4,0.1176,,31,3,0.0882,
190,26,27,-1,0.0385,,17,9,0.3462,,30,-4,0.1538,,36,-10,0.3846,
191,28,35,-7,0.2500,,21,7,0.2500,,37,-9,0.3214,,40,-12,0.4286,
192,28,29,-1,0.0357,,16,12,0.4286,,30,-2,0.0714,,33,-5,0.1786,
193,31,32,-1,0.0323,,18,13,0.4194,,34,-3,0.0968,,37,-6,0.1935,
194,36,31,5,0.1389,,21,15,0.4167,,33,3,0.0833,,35,1,0.0278,
195,38,24,14,0.3684,,16,22,0.5789,,26,12,0.3158,,27,11,0.2895,
196,37,30,7,0.1892,,23,14,0.3784,,30,7,0.1892,,31,6,0.1622,
197,36,31,5,0.1389,,21,15,0.4167,,33,3,0.0833,,36,0,0.0000,
198,25,30,-5,0.2000,,26,-1,0.0400,,30,-5,0.2000,,31,-6,0.2400,
199,27,25,2,0.0741,,20,7,0.2593,,25,2,0.0741,,29,-2,0.0741,
200,31,32,-1,0.0323,,18,13,0.4194,,32,-1,0.0323,,35,-4,0.1290,
201,31,24,7,0.2258,,19,12,0.3871,,25,6,0.1935,,28,3,0.0968,
202,31,29,2,0.0645,,19,12,0.3871,,29,2,0.0645,,30,1,0.0323,
203,30,25,5,0.1667,,18,12,0.4000,,25,5,0.1667,,31,-1,0.0333,
204,31,25,6,0.1935,,18,13,0.4194,,25,6,0.1935,,26,5,0.1613,
205,30,27,3,0.1000,,20,10,0.3333,,29,1,0.0333,,33,-3,0.1000,
206,31,29,2,0.0645,,22,9,0.2903,,29,2,0.0645,,32,-1,0.0323,
207,27,28,-1,0.0370,,20,7,0.2593,,32,-5,0.1852,,34,-7,0.2593,
208,24,24,0,0.0000,,17,7,0.2917,,24,0,0.0000,,27,-3,0.1250,
209,27,23,4,0.1481,,17,10,0.3704,,24,3,0.1111,,27,0,0.0000,
210,26,24,2,0.0769,,17,9,0.3462,,25,1,0.0385,,27,-1,0.0385,
211,27,26,1,0.0370,,18,9,0.3333,,26,1,0.0370,,27,0,0.0000,
212,27,32,-5,0.1852,,20,7,0.2593,,32,-5,0.1852,,32,-5,0.1852,
213,25,27,-2,0.0800,,18,7,0.2800,,27,-2,0.0800,,28,-3,0.1200,
214,28,26,2,0.0714,,18,10,0.3571,,26,2,0.0714,,28,0,0.0000,
215,26,29,-3,0.1154,,20,6,0.2308,,29,-3,0.1154,,30,-4,0.1538,
216,27,25,2,0.0741,,19,8,0.2963,,26,1,0.0370,,31,-4,0.1481,
217,31,26,5,0.1613,,20,11,0.3548,,27,4,0.1290,,28,3,0.0968,
218,30,27,3,0.1000,,19,11,0.3667,,28,2,0.0667,,29,1,0.0333,
219,29,30,-1,0.0345,,18,11,0.3793,,31,-2,0.0690,,31,-2,0.0690,
220,40,34,6,0.1500,,22,18,0.4500,,34,6,0.1500,,34,6,0.1500,
221,43,33,10,0.2326,,24,19,0.4419,,33,10,0.2326,,34,9,0.2093,
222,40,36,4,0.1000,,24,16,0.4000,,36,4,0.1000,,39,1,0.0250,
223,38,32,6,0.1579,,21,17,0.4474,,32,6,0.1579,,36,2,0.0526,
224,40,33,7,0.1750,,24,16,0.4000,,33,7,0.1750,,35,5,0.1250,
225,33,29,4,0.1212,,26,7,0.2121,,29,4,0.1212,,30,3,0.0909,
226,29,28,1,0.0345,,20,9,0.3103,,30,-1,0.0345,,32,-3,0.1034,
227,24,26,-2,0.0833,,17,7,0.2917,,26,-2,0.0833,,27,-3,0.1250,
228,28,26,2,0.0714,,20,8,0.2857,,26,2,0.0714,,28,0,0.0000,
229,26,26,0,0.0000,,21,5,0.1923,,26,0,0.0000,,27,-1,0.0385,
230,28,27,1,0.0357,,20,8,0.2857,,27,1,0.0357,,30,-2,0.0714,
231,23,28,-5,0.2174,,17,6,0.2609,,30,-7,0.3043,,32,-9,0.3913,
232,32,29,3,0.0938,,19,13,0.4063,,29,3,0.0938,,33,-1,0.0313,
233,29,27,2,0.0690,,22,7,0.2414,,28,1,0.0345,,31,-2,0.0690,
234,34,34,0,0.0000,,22,12,0.3529,,35,-1,0.0294,,36,-2,0.0588,
235,36,29,7,0.1944,,21,15,0.4167,,30,6,0.1667,,31,5,0.1389,
236,36,31,5,0.1389,,16,20,0.5556,,33,3,0.0833,,35,1,0.0278,
237,36,26,10,0.2778,,15,21,0.5833,,26,10,0.2778,,30,6,0.1667,
238,33,26,7,0.2121,,21,12,0.3636,,29,4,0.1212,,32,1,0.0303,
239,23,20,3,0.1304,,15,8,0.3478,,20,3,0.1304,,22,1,0.0435,
240,23,19,4,0.1739,,14,9,0.3913,,22,1,0.0435,,27,-4,0.1739,
241,26,20,6,0.2308,,15,11,0.4231,,20,6,0.2308,,22,4,0.1538,
242,25,24,1,0.0400,,19,6,0.2400,,24,1,0.0400,,30,-5,0.2000,
243,29,22,7,0.2414,,20,9,0.3103,,23,6,0.2069,,27,2,0.0690,
244,34,21,13,0.3824,,20,14,0.4118,,21,13,0.3824,,21,13,0.3824,
245,35,27,8,0.2286,,17,18,0.5143,,27,8,0.2286,,28,7,0.2000,
246,36,27,9,0.2500,,21,15,0.4167,,27,9,0.2500,,30,6,0.1667,
247,36,28,8,0.2222,,23,13,0.3611,,28,8,0.2222,,29,7,0.1944,
248,32,31,1,0.0313,,21,11,0.3438,,31,1,0.0313,,32,0,0.0000,
249,35,30,5,0.1429,,19,16,0.4571,,30,5,0.1429,,31,4,0.1143,
250,34,28,6,0.1765,,22,12,0.3529,,30,4,0.1176,,31,3,0.0882,
251,36,33,3,0.0833,,22,14,0.3889,,33,3,0.0833,,33,3,0.0833,
252,31,29,2,0.0645,,22,9,0.2903,,29,2,0.0645,,29,2,0.0645,
253,31,30,1,0.0323,,19,12,0.3871,,30,1,0.0323,,31,0,0.0000,
254,33,29,4,0.1212,,26,7,0.2121,,29,4,0.1212,,30,3,0.0909,
255,35,25,10,0.2857,,21,14,0.4000,,25,10,0.2857,,25,10,0.2857,
256,30,28,2,0.0667,,18,12,0.4000,,29,1,0.0333,,31,-1,0.0333,
257,30,25,5,0.1667,,20,10,0.3333,,25,5,0.1667,,26,4,0.1333,
258,35,29,6,0.1714,,22,13,0.3714,,29,6,0.1714,,32,3,0.0857,
259,35,27,8,0.2286,,22,13,0.3714,,27,8,0.2286,,28,7,0.2000,
260,22,19,3,0.1364,,17,5,0.2273,,20,2,0.0909,,20,2,0.0909,
261,18,22,-4,0.2222,,15,3,0.1667,,22,-4,0.2222,,23,-5,0.2778,
262,18,25,-7,0.3889,,14,4,0.2222,,25,-7,0.3889,,26,-8,0.4444,
263,19,28,-9,0.4737,,16,3,0.1579,,29,-10,0.5263,,31,-12,0.6316,
264,24,22,2,0.0833,,14,10,0.4167,,24,0,0.0000,,29,-5,0.2083,
265,28,25,3,0.1071,,15,13,0.4643,,25,3,0.1071,,26,2,0.0714,
266,31,27,4,0.1290,,15,16,0.5161,,27,4,0.1290,,27,4,0.1290,
267,25,29,-4,0.1600,,19,6,0.2400,,30,-5,0.2000,,37,-12,0.4800,
268,23,26,-3,0.1304,,19,4,0.1739,,26,-3,0.1304,,29,-6,0.2609,
269,22,34,-12,0.5455,,14,8,0.3636,,34,-12,0.5455,,35,-13,0.5909,
270,29,26,3,0.1034,,19,10,0.3448,,26,3,0.1034,,26,3,0.1034,
271,30,25,5,0.1667,,19,11,0.3667,,25,5,0.1667,,26,4,0.1333,
272,37,23,14,0.3784,,19,18,0.4865,,23,14,0.3784,,24,13,0.3514,
273,37,27,10,0.2703,,16,21,0.5676,,27,10,0.2703,,31,6,0.1622,
274,33,25,8,0.2424,,20,13,0.3939,,25,8,0.2424,,28,5,0.1515,
275,35,33,2,0.0571,,20,15,0.4286,,34,1,0.0286,,34,1,0.0286,
276,33,34,-1,0.0303,,21,12,0.3636,,34,-1,0.0303,,39,-6,0.1818,
277,44,33,11,0.2500,,23,21,0.4773,,33,11,0.2500,,33,11,0.2500,
278,34,27,7,0.2059,,20,14,0.4118,,28,6,0.1765,,30,4,0.1176,
279,34,30,4,0.1176,,21,13,0.3824,,30,4,0.1176,,32,2,0.0588,
280,40,31,9,0.2250,,20,20,0.5000,,31,9,0.2250,,34,6,0.1500,
281,40,34,6,0.1500,,26,14,0.3500,,34,6,0.1500,,35,5,0.1250,
282,43,33,10,0.2326,,26,17,0.3953,,35,8,0.1860,,39,4,0.0930,
283,43,31,12,0.2791,,23,20,0.4651,,33,10,0.2326,,34,9,0.2093,
284,36,30,6,0.1667,,21,15,0.4167,,31,5,0.1389,,32,4,0.1111,
285,29,23,6,0.2069,,20,9,0.3103,,24,5,0.1724,,27,2,0.0690,
286,29,23,6,0.2069,,20,9,0.3103,,25,4,0.1379,,27,2,0.0690,
287,27,23,4,0.1481,,19,8,0.2963,,23,4,0.1481,,26,1,0.0370,
288,30,28,2,0.0667,,20,10,0.3333,,28,2,0.0667,,28,2,0.0667,
289,34,27,7,0.2059,,20,14,0.4118,,27,7,0.2059,,28,6,0.1765,
290,33,26,7,0.2121,,17,16,0.4848,,27,6,0.1818,,29,4,0.1212,
291,47,30,17,0.3617,,23,24,0.5106,,31,16,0.3404,,32,15,0.3191,
292,41,35,6,0.1463,,21,20,0.4878,,36,5,0.1220,,37,4,0.0976,
293,39,28,11,0.2821,,23,16,0.4103,,29,10,0.2564,,31,8,0.2051,
294,30,24,6,0.2000,,20,10,0.3333,,24,6,0.2000,,25,5,0.1667,
295,30,25,5,0.1667,,20,10,0.3333,,25,5,0.1667,,25,5,0.1667,
296,28,25,3,0.1071,,21,7,0.2500,,27,1,0.0357,,29,-1,0.0357,
297,31,28,3,0.0968,,20,11,0.3548,,29,2,0.0645,,30,1,0.0323,
298,39,28,11,0.2821,,20,19,0.4872,,28,11,0.2821,,30,9,0.2308,
299,35,27,8,0.2286,,23,12,0.3429,,28,7,0.2000,,30,5,0.1429,
300,41,32,9,0.2195,,22,19,0.4634,,32,9,0.2195,,33,8,0.1951,
301,41,29,12,0.2927,,21,20,0.4878,,31,10,0.2439,,34,7,0.1707,
302,44,38,6,0.1364,,24,20,0.4545,,38,6,0.1364,,40,4,0.0909,
303,33,32,1,0.0303,,20,13,0.3939,,32,1,0.0303,,34,-1,0.0303,
304,22,23,-1,0.0455,,16,6,0.2727,,26,-4,0.1818,,31,-9,0.4091,
305,27,24,3,0.1111,,14,13,0.4815,,24,3,0.1111,,25,2,0.0741,
306,28,25,3,0.1071,,18,10,0.3571,,25,3,0.1071,,26,2,0.0714,
